factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp
presence,Idefics3,LLaVA,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.79,0.885,0.09499999999999997,9.499999999999996,0.020000000000000018,2.0000000000000018,0.0050000000000000044,0.5000000000000004,0.020000000000000018,2.0000000000000018,0.0050000000000000044,0.5000000000000004
presence,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.79,0.8,0.010000000000000009,1.0000000000000009,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0,0.0,0.0050000000000000044,0.5000000000000004
presence,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.92,0.885,0.03500000000000003,3.500000000000003,0.24111111111111105,24.111111111111107,0.02777777777777779,2.777777777777779,0.31499999999999995,31.499999999999993,0.125,12.5
presence,Phi,InternVL,phi35_vision_instruct,internvl3_8b_hf,0.92,0.8,0.12,12.0,0.26111111111111107,26.111111111111107,0.02777777777777779,2.777777777777779,0.33499999999999996,33.5,0.125,12.5
presence,LLaVA,InternVL,llava_onevision_qwen2_7b,internvl3_8b_hf,0.885,0.8,0.08499999999999996,8.499999999999996,0.020000000000000018,2.0000000000000018,0.0,0.0,0.020000000000000018,2.0000000000000018,0.0,0.0
spatial,Qwen,Gemma,qwen3_vl_4b_instruct,gemma3_4b_it,0.8,0.56,0.24,24.0,0.985,98.5,0.020547945205479423,2.0547945205479423,0.985,98.5,0.28500000000000003,28.500000000000004
spatial,Qwen,Molmo,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.8,0.66,0.14,14.000000000000002,0.5863513513513514,58.635135135135144,0.006756756756756799,0.6756756756756799,0.69,69.0,0.265,26.5
spatial,Qwen,Skywork,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.8,0.845,0.04499999999999993,4.499999999999993,0.125,12.5,0.0,0.0,0.125,12.5,0.0,0.0
spatial,Qwen,Idefics3,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.8,0.64,0.16000000000000003,16.000000000000004,0.43499999999999994,43.49999999999999,0.0,0.0,0.43499999999999994,43.49999999999999,0.0,0.0
spatial,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.8,0.8484848484848485,0.048484848484848464,4.848484848484846,0.5110416666666666,51.104166666666664,0.015625,1.5625,0.53,53.0,0.05500000000000005,5.500000000000005
spatial,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.8,0.785,0.015000000000000013,1.5000000000000013,0.11499999999999999,11.5,0.0,0.0,0.11499999999999999,11.5,0.0,0.0
spatial,Qwen,InternVL,qwen3_vl_4b_instruct,internvl3_8b_hf,0.8,0.685,0.11499999999999999,11.5,0.06999999999999995,6.999999999999995,0.0,0.0,0.06999999999999995,6.999999999999995,0.0,0.0
spatial,Gemma,Molmo,gemma3_4b_it,molmo_7b_d_0924,0.56,0.66,0.09999999999999998,9.999999999999998,0.39864864864864863,39.86486486486486,0.013791188448722624,1.3791188448722624,0.295,29.5,0.020000000000000018,2.0000000000000018
spatial,Gemma,Skywork,gemma3_4b_it,skywork_vl_reward_7b,0.56,0.845,0.2849999999999999,28.499999999999993,0.86,86.0,0.020547945205479423,2.0547945205479423,0.86,86.0,0.28500000000000003,28.500000000000004
spatial,Gemma,Idefics3,gemma3_4b_it,idefics3_8b_llama3,0.56,0.64,0.07999999999999996,7.9999999999999964,0.55,55.00000000000001,0.020547945205479423,2.0547945205479423,0.55,55.00000000000001,0.28500000000000003,28.500000000000004
spatial,Gemma,Phi,gemma3_4b_it,phi35_vision_instruct,0.56,0.8484848484848485,0.28848484848484846,28.848484848484844,0.4739583333333333,47.39583333333333,0.004922945205479423,0.4922945205479423,0.455,45.5,0.22999999999999998,23.0
