factor,threshold_pp,model_a,model_b,delta_A_pp,delta_PFC,delta_PSC,delta_U8
presence,1,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.7315448498331323,0.13847697376649515,-0.05661307185269271,0.004814450124025371
presence,2,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.7315448498331323,0.13847697376649515,-0.05661307185269271,0.004814450124025371
presence,3,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.7315448498331323,0.13847697376649515,-0.05661307185269271,0.004814450124025371
presence,3,qwen3_vl_4b_instruct,internvl3_8b_hf,2.492218419622527,0.24167595940287145,0.1013728665966519,0.04433227830510722
presence,3,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,2.416424049688204,0.1388013886328222,0.06975561526088792,-0.06123458375408619
presence,2,gemma3_4b_it,molmo_7b_d_0924,1.1897381935083162,0.04060565815974132,-0.02622890656540766,0.11376037774551373
presence,3,gemma3_4b_it,molmo_7b_d_0924,1.1897381935083162,0.04060565815974132,-0.02622890656540766,0.11376037774551373
presence,2,gemma3_4b_it,skywork_vl_reward_7b,1.9637176194293948,-0.032008078142607865,-0.1919507131576168,0.10460839397768107
presence,3,gemma3_4b_it,skywork_vl_reward_7b,1.9637176194293948,-0.032008078142607865,-0.1919507131576168,0.10460839397768107
presence,1,gemma3_4b_it,idefics3_8b_llama3,0.30619578271010583,-0.12274024465777345,-0.1369356194449911,0.10135381696019352
presence,2,gemma3_4b_it,idefics3_8b_llama3,0.30619578271010583,-0.12274024465777345,-0.1369356194449911,0.10135381696019352
presence,3,gemma3_4b_it,idefics3_8b_llama3,0.30619578271010583,-0.12274024465777345,-0.1369356194449911,0.10135381696019352
presence,1,gemma3_4b_it,internvl3_8b_hf,0.2030440496399999,0.07119090749376844,-0.033964774708272194,0.14412622215876292
presence,2,gemma3_4b_it,internvl3_8b_hf,0.2030440496399999,0.07119090749376844,-0.033964774708272194,0.14412622215876292
presence,3,gemma3_4b_it,internvl3_8b_hf,0.2030440496399999,0.07119090749376844,-0.033964774708272194,0.14412622215876292
presence,1,gemma3_4b_it,llava_onevision_qwen2_7b,0.2788384195743232,-0.031683663276280805,-0.06558202604403618,0.038559360099569506
presence,2,gemma3_4b_it,llava_onevision_qwen2_7b,0.2788384195743232,-0.031683663276280805,-0.06558202604403618,0.038559360099569506
presence,3,gemma3_4b_it,llava_onevision_qwen2_7b,0.2788384195743232,-0.031683663276280805,-0.06558202604403618,0.038559360099569506
presence,1,molmo_7b_d_0924,idefics3_8b_llama3,0.8835424107982104,-0.16334590281751477,-0.11070671287958345,-0.012406560785320209
presence,2,molmo_7b_d_0924,idefics3_8b_llama3,0.8835424107982104,-0.16334590281751477,-0.11070671287958345,-0.012406560785320209
presence,3,molmo_7b_d_0924,idefics3_8b_llama3,0.8835424107982104,-0.16334590281751477,-0.11070671287958345,-0.012406560785320209
presence,3,molmo_7b_d_0924,phi35_vision_instruct,2.26320141990205,-0.10462657305951689,0.030765258611846757,-0.07743489340926613
presence,2,molmo_7b_d_0924,internvl3_8b_hf,1.3927822431483161,0.03058524933402712,-0.007735868142864533,0.030365844413249188
presence,3,molmo_7b_d_0924,internvl3_8b_hf,1.3927822431483161,0.03058524933402712,-0.007735868142864533,0.030365844413249188
